time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-04-25T07:14:13.970Z,32.96,-115.7086667,2.43,1.31,ml,9,173,0.1321,0.18,ci,ci39628239,2021-04-25T07:17:56.978Z,"12km SW of Westmorland, CA",earthquake,0.81,0.98,0.348,13,automatic,ci,ci
2021-04-25T07:11:36.120Z,19.236665725708,-155.404998779297,31.5699996948242,2.02999997,md,35,131,,0.129999995,hv,hv72440522,2021-04-25T07:14:47.230Z,"8 km ENE of Pāhala, Hawaii",earthquake,0.6,0.649999976,0.949999988,7,automatic,hv,hv
2021-04-25T06:57:12.319Z,62.1021,-150.4224,50.8,1,ml,,,,0.57,ak,ak0215aapr6n,2021-04-25T07:07:27.740Z,"25 km SSW of Trapper Creek, Alaska",earthquake,,2.9,,,automatic,ak,ak
2021-04-25T06:53:30.905Z,62.771,-150.2178,89.9,1.3,ml,,,,0.37,ak,ak0215aaoxqr,2021-04-25T07:00:06.318Z,"36 km N of Chase, Alaska",earthquake,,0.6,,,automatic,ak,ak
2021-04-25T06:51:16.081Z,61.9627,-149.5621,26.5,1,ml,,,,0.39,ak,ak0215aaoh6j,2021-04-25T06:58:25.814Z,"26 km SE of Susitna North, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-04-25T06:51:02.260Z,33.6783333,-116.7578333,15.28,0.69,ml,27,64,0.07658,0.18,ci,ci39628223,2021-04-25T06:54:36.791Z,"8km SSW of Idyllwild, CA",earthquake,0.42,0.55,0.163,15,automatic,ci,ci
2021-04-25T06:46:42.240Z,19.2256660461426,-155.344833374023,-0.589999973773956,1.75,md,26,165,,0.270000011,hv,hv72440497,2021-04-25T06:49:55.090Z,"14 km E of Pāhala, Hawaii",earthquake,0.81,0.289999992,0.610000014,11,automatic,hv,hv
2021-04-25T06:39:15.000Z,19.3401660919189,-155.193161010742,3.84999990463257,1.78,ml,38,76,,0.159999996,hv,hv72440487,2021-04-25T06:44:45.580Z,"12 km SSE of Volcano, Hawaii",earthquake,0.36,2.29999995,0.27,9,automatic,hv,hv
2021-04-25T06:33:59.881Z,60.9134,-151.7901,92.9,1.4,ml,,,,0.69,ak,ak0215aakss5,2021-04-25T06:54:04.819Z,"36 km NW of Nikiski, Alaska",earthquake,,0.5,,,automatic,ak,ak
2021-04-25T06:33:22.241Z,0.312,122.3,128.8,4.5,mb,,55,1.425,0.67,us,us6000e4kn,2021-04-25T06:57:20.040Z,"88 km WSW of Gorontalo, Indonesia",earthquake,7.9,7.9,0.077,50,reviewed,us,us
2021-04-25T06:30:40.736Z,31.6108,-104.5439,5,2.7,ml,,76,0.068,0.38,us,us6000e4kk,2021-04-25T06:43:12.040Z,"64 km SSW of Whites City, New Mexico",earthquake,1.4,1.5,0.053,66,reviewed,us,us
